source,target,type,weight
ITA-2.1.1.10,ITA-2.1.1.13,SAME_CHAPTER,0.5
ITA-2.1.1.10,ITA-2.1.1.14,SAME_CHAPTER,0.5
ITA-2.1.1.10,ITA-2.1.2.1,SAME_CHAPTER,0.5
ITA-2.1.1.11,ITA-2.1.1.12,SAME_CHAPTER,0.5
ITA-2.1.1.11,ITA-2.1.1.13,SAME_CHAPTER,0.5
ITA-2.1.1.11,ITA-2.1.1.14,SAME_CHAPTER,0.5
ITA-2.1.1.11,ITA-2.1.2.1,SAME_CHAPTER,0.5
ITA-2.1.1.11,ITA-2.1.2.2,SAME_CHAPTER,0.5
ITA-2.1.1.12,ITA-2.1.1.13,SAME_CHAPTER,0.5
ITA-2.1.1.12,ITA-2.1.1.14,SAME_CHAPTER,0.5
ITA-2.1.1.12,ITA-2.1.2.1,SAME_CHAPTER,0.5
ITA-2.1.1.12,ITA-2.1.2.2,SAME_CHAPTER,0.5
ITA-2.1.1.12,ITA-2.1.2.3,SAME_CHAPTER,0.5
ITA-2.1.1.13,ITA-2.1.1.14,SAME_CHAPTER,0.5
ITA-2.1.1.13,ITA-2.1.2.1,SAME_CHAPTER,0.5
ITA-2.1.1.13,ITA-2.1.2.2,SAME_CHAPTER,0.5
ITA-2.1.1.13,ITA-2.1.2.3,SAME_CHAPTER,0.5
ITA-2.1.1.13,ITA-2.1.2.4,SAME_CHAPTER,0.5
ITA-2.1.1.14,ITA-2.1.2.1,SAME_CHAPTER,0.5
ITA-2.1.1.14,ITA-2.1.2.2,SAME_CHAPTER,0.5
ITA-2.1.1.14,ITA-2.1.2.3,SAME_CHAPTER,0.5
ITA-2.1.1.14,ITA-2.1.2.4,SAME_CHAPTER,0.5
ITA-2.1.1.14,ITA-2.1.2.5,SAME_CHAPTER,0.5
ITA-2.1.2.1,ITA-2.1.2.2,SAME_CHAPTER,0.5
ITA-2.1.2.1,ITA-2.1.2.3,SAME_CHAPTER,0.5
ITA-2.1.2.1,ITA-2.1.2.4,SAME_CHAPTER,0.5
ITA-2.1.2.1,ITA-2.1.2.5,SAME_CHAPTER,0.5
ITA-2.1.2.1,ITA-2.1.2.6,SAME_CHAPTER,0.5
ITA-2.1.2.2,ITA-2.1.2.3,SAME_CHAPTER,0.5
ITA-2.1.2.2,ITA-2.1.2.4,SAME_CHAPTER,0.5
ITA-2.1.2.2,ITA-2.1.2.5,SAME_CHAPTER,0.5
ITA-2.1.2.2,ITA-2.1.2.6,SAME_CHAPTER,0.5
ITA-2.1.2.2,ITA-2.1.2.7,SAME_CHAPTER,0.5
ITA-2.1.2.3,ITA-2.1.2.4,SAME_CHAPTER,0.5
ITA-2.1.2.3,ITA-2.1.2.5,SAME_CHAPTER,0.5
ITA-2.1.2.3,ITA-2.1.2.6,SAME_CHAPTER,0.5
ITA-2.1.2.3,ITA-2.1.2.7,SAME_CHAPTER,0.5
ITA-2.1.2.3,ITA-2.1.2.8,SAME_CHAPTER,0.5
ITA-2.1.2.4,ITA-2.1.2.5,SAME_CHAPTER,0.5
ITA-2.1.2.4,ITA-2.1.2.6,SAME_CHAPTER,0.5
ITA-2.1.2.4,ITA-2.1.2.7,SAME_CHAPTER,0.5
ITA-2.1.2.4,ITA-2.1.2.8,SAME_CHAPTER,0.5
ITA-2.1.2.4,ITA-2.1.2.9,SAME_CHAPTER,0.5
ITA-2.1.2.5,ITA-2.1.2.6,SAME_CHAPTER,0.5
ITA-2.1.2.5,ITA-2.1.2.7,SAME_CHAPTER,0.5
ITA-2.1.2.5,ITA-2.1.2.8,SAME_CHAPTER,0.5
ITA-2.1.2.5,ITA-2.1.2.9,SAME_CHAPTER,0.5
ITA-2.1.2.5,ITA-2.1.2.10,SAME_CHAPTER,0.5
ITA-2.1.2.6,ITA-2.1.2.7,SAME_CHAPTER,0.5
ITA-2.1.2.6,ITA-2.1.2.8,SAME_CHAPTER,0.5
ITA-2.1.2.6,ITA-2.1.2.9,SAME_CHAPTER,0.5
ITA-2.1.2.6,ITA-2.1.2.10,SAME_CHAPTER,0.5
ITA-2.1.2.6,ITA-2.1.2.11,SAME_CHAPTER,0.5
ITA-2.1.2.7,ITA-2.1.2.8,SAME_CHAPTER,0.5
ITA-2.1.2.7,ITA-2.1.2.9,SAME_CHAPTER,0.5
ITA-2.1.2.7,ITA-2.1.2.10,SAME_CHAPTER,0.5
ITA-2.1.2.7,ITA-2.1.2.11,SAME_CHAPTER,0.5
ITA-2.1.2.7,ITA-2.1.2.12,SAME_CHAPTER,0.5
ITA-2.1.2.8,ITA-2.1.2.9,SAME_CHAPTER,0.5
ITA-2.1.2.8,ITA-2.1.2.10,SAME_CHAPTER,0.5
ITA-2.1.2.8,ITA-2.1.2.11,SAME_CHAPTER,0.5
ITA-2.1.2.8,ITA-2.1.2.12,SAME_CHAPTER,0.5
ITA-2.1.2.8,ITA-2.1.2.13,SAME_CHAPTER,0.5
ITA-2.1.2.9,ITA-2.1.2.10,SAME_CHAPTER,0.5
ITA-2.1.2.9,ITA-2.1.2.11,SAME_CHAPTER,0.5
ITA-2.1.2.9,ITA-2.1.2.12,SAME_CHAPTER,0.5
ITA-2.1.2.9,ITA-2.1.2.13,SAME_CHAPTER,0.5
ITA-2.1.2.9,ITA-2.1.3.1,SAME_CHAPTER,0.5
ITA-2.1.2.10,ITA-2.1.2.11,SAME_CHAPTER,0.5
ITA-2.1.2.10,ITA-2.1.2.12,SAME_CHAPTER,0.5
ITA-2.1.2.10,ITA-2.1.2.13,SAME_CHAPTER,0.5
ITA-2.1.2.10,ITA-2.1.3.1,SAME_CHAPTER,0.5
ITA-2.1.2.10,ITA-2.1.3.2,SAME_CHAPTER,0.5
ITA-2.1.2.11,ITA-2.1.2.12,SAME_CHAPTER,0.5
ITA-2.1.2.11,ITA-2.1.2.13,SAME_CHAPTER,0.5
ITA-2.1.2.11,ITA-2.1.3.1,SAME_CHAPTER,0.5
ITA-2.1.2.11,ITA-2.1.3.2,SAME_CHAPTER,0.5
