id,english,iast,devanagari,type,chapter,doshas,dhatus,clinical_significance
ITA-3.16.21,,vaikalyakaramarma,वैकल्यकरमर्म,ANATOMY,3,,,low
ITA-3.16.22,,rujākaramarma,रुजाकरमर्म,ANATOMY,3,,,low
ITA-3.16.23,,adhipatiḥ (marma),अधिपतिः (मर्म),ANATOMY,3,,,low
ITA-3.16.24,,śrṛṅgāṭakam (marma),श्रृंगाटकम (मर्म),ANATOMY,3,,,low
ITA-3.16.25,,mātṛkā (marma),मातृका (मर्म),ANATOMY,3,,,low
ITA-3.16.26,,stanamūlam (marma),स्तनमूलम (मर्म),ANATOMY,3,,,low
ITA-3.16.27,,stanarohitam (marma),स्तनरोहितम (मर्म),ANATOMY,3,,,low
ITA-3.16.28,,apalāpaḥ (marma),अपलापः (मर्म),ANATOMY,3,,,low
ITA-3.16.29,,apastambhaḥ (marma),अपस्तम्भः (मर्म),ANATOMY,3,,,low
ITA-3.16.30,,sīmantaḥ (marma),सीमन्तः (मर्म),ANATOMY,3,,,low
ITA-3.16.31,,talahṛdayam (marma),तलहृदयम (मर्म),ANATOMY,3,,,low
ITA-3.16.32,,kṣipram (marma),क्षिप्रम (मर्म),ANATOMY,3,,,low
ITA-3.16.33,,indrabastiḥ (marma),इन्द्रबस्तिः (मर्म),ANATOMY,3,,,low
ITA-3.16.34,,kaṭīkataruṇam (marma),कटीकतरुणम (मर्म),ANATOMY,3,,,low
ITA-3.16.35,,pārśvasandhiḥ (marma),पार्श्वसन्धिः (मर्म),ANATOMY,3,,,low
ITA-3.16.36,,bṛhatī (marma),बृहती (मर्म),ANATOMY,3,,,low
ITA-3.16.37,,utkṣepaḥ (marma),उत्क्षेपः (मर्म),ANATOMY,3,,,low
ITA-3.16.38,,sthapanī (marma),स्थपनी (मर्म),ANATOMY,3,,,low
ITA-3.16.39,,lohitākṣaḥ (marma),लोहिताक्षः (मर्म),ANATOMY,3,,,low
ITA-3.16.40,,āṇi (marma),आणि (मर्म),ANATOMY,3,,,low
ITA-3.16.41,,ūrvī (marma),ऊर्वी (मर्म),ANATOMY,3,,,low
ITA-3.16.42,,kūrcaḥ (marma),कूर्चः (मर्म),ANATOMY,3,,,low
